,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,latitude,longitude
582,583,2016,Delhi,15/04/16,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin,,28.63753095,77.24293445747605
583,584,2016,Hyderabad,16/04/16,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,Rajiv Gandhi International Stadium,AK Chaudhary,CK Nandan,,17.406528299999998,78.55048949386448
584,585,2016,Mumbai,16/04/16,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,3,AJ Finch,Wankhede Stadium,HDPK Dharmasena,VK Sharma,,18.9385497,72.82574081674653
585,586,2016,Chandigarh,17/04/16,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,normal,0,Kings XI Punjab,0,6,M Vohra,Punjab Cricket Association IS Bindra Stadium,S Ravi,C Shamshuddin,,30.69085905,76.7374305321502
586,587,2016,Bangalore,17/04/16,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore,,12.97881265,77.59957750299715
587,588,2016,Hyderabad,18/04/16,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,7,DA Warner,Rajiv Gandhi International Stadium,HDPK Dharmasena,VK Sharma,,17.406528299999998,78.55048949386448
588,589,2016,Chandigarh,19/04/16,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,RV Uthappa,Punjab Cricket Association IS Bindra Stadium,S Ravi,C Shamshuddin,,30.69085905,76.7374305321502
589,590,2016,Mumbai,20/04/16,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,RG Sharma,Wankhede Stadium,AK Chaudhary,CK Nandan,,18.9385497,72.82574081674653
590,591,2016,Rajkot,21/04/16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,10,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,HDPK Dharmasena,,22.362785549999998,70.71008439911074
591,592,2016,Pune,22/04/16,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Royal Challengers Bangalore,13,0,AB de Villiers,Maharashtra Cricket Association Stadium,CB Gaffaney,VK Sharma,,18.6738164,73.7064113964208
592,593,2016,Delhi,23/04/16,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,10,0,SV Samson,Feroz Shah Kotla,S Ravi,C Shamshuddin,,28.63753095,77.24293445747605
593,594,2016,Hyderabad,23/04/16,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,Mustafizur Rahman,Rajiv Gandhi International Stadium,AK Chaudhary,CK Nandan,,17.406528299999998,78.55048949386448
594,595,2016,Rajkot,24/04/16,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,normal,0,Gujarat Lions,0,6,V Kohli,Saurashtra Cricket Association Stadium,K Bharatan,BNJ Oxenford,,22.362785549999998,70.71008439911074
595,596,2016,Pune,24/04/16,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,2,SA Yadav,Maharashtra Cricket Association Stadium,CB Gaffaney,A Nand Kishore,,18.6738164,73.7064113964208
596,597,2016,Chandigarh,25/04/16,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Mumbai Indians,25,0,PA Patel,Punjab Cricket Association IS Bindra Stadium,Nitin Menon,RJ Tucker,,30.69085905,76.7374305321502
597,598,2016,Hyderabad,26/04/16,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,1,Rising Pune Supergiants,34,0,AB Dinda,Rajiv Gandhi International Stadium,AY Dandekar,CK Nandan,,17.406528299999998,78.55048949386448
598,599,2016,Delhi,27/04/16,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Gujarat Lions,1,0,CH Morris,Feroz Shah Kotla,M Erasmus,S Ravi,,28.63753095,77.24293445747605
599,600,2016,Mumbai,28/04/16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,RG Sharma,Wankhede Stadium,Nitin Menon,RJ Tucker,,18.9385497,72.82574081674653
600,601,2016,Pune,29/04/16,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,3,DR Smith,Maharashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,,18.6738164,73.7064113964208
601,602,2016,Delhi,30/04/16,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Daredevils,27,0,CR Brathwaite,Feroz Shah Kotla,KN Ananthapadmanabhan,M Erasmus,,28.63753095,77.24293445747605
602,603,2016,Hyderabad,30/04/16,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,15,0,DA Warner,Rajiv Gandhi International Stadium,AK Chaudhary,HDPK Dharmasena,,17.406528299999998,78.55048949386448
603,604,2016,Rajkot,01/05/16,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,23,0,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma,,22.362785549999998,70.71008439911074
604,605,2016,Pune,01/05/16,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RG Sharma,Maharashtra Cricket Association Stadium,AY Dandekar,RJ Tucker,,18.6738164,73.7064113964208
605,606,2016,Bangalore,02/05/16,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,,12.97881265,77.59957750299715
606,607,2016,Rajkot,03/05/16,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,RR Pant,Saurashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford,,22.362785549999998,70.71008439911074
607,608,2016,Kolkata,04/05/16,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,7,0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,,22.564561349999998,88.34424156337812
608,609,2016,Delhi,05/05/16,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,7,AM Rahane,Feroz Shah Kotla,C Shamshuddin,RJ Tucker,,28.63753095,77.24293445747605
609,610,2016,Hyderabad,06/05/16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,B Kumar,Rajiv Gandhi International Stadium,M Erasmus,S Ravi,,17.406528299999998,78.55048949386448
610,611,2016,Bangalore,07/05/16,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford,,12.97881265,77.59957750299715
611,612,2016,Chandigarh,07/05/16,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings XI Punjab,9,0,MP Stoinis,Punjab Cricket Association IS Bindra Stadium,HDPK Dharmasena,CK Nandan,,30.69085905,76.7374305321502
612,613,2016,Visakhapatnam,08/05/16,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,85,0,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin,,17.79751345,83.35300264041362
613,614,2016,Kolkata,08/05/16,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,5,P Kumar,Eden Gardens,M Erasmus,RJ Tucker,,22.564561349999998,88.34424156337812
614,615,2016,Chandigarh,09/05/16,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Royal Challengers Bangalore,1,0,SR Watson,Punjab Cricket Association IS Bindra Stadium,AK Chaudhary,HDPK Dharmasena,,30.69085905,76.7374305321502
615,616,2016,Visakhapatnam,10/05/16,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma,,17.79751345,83.35300264041362
